id,code,name
edu_inst_141412212,141412212,Chillia
edu_inst_141417203,141417203,Mariano Bonin
edu_inst_141530971,141530971,Los Morochucos
edu_inst_141539543,141539543,Leonidas Lopez Chicae
edu_inst_141550789,141550789,Fernando Belaunde Terry
edu_inst_141580034,141580034,Santa Rosa - Melgar (Puno)
edu_inst_141590868,141590868,El Dorado
edu_inst_141604206,141604206,Carlos Laborde
edu_inst_141614262,141614262,Nicanor Mujica Alvarez Calderon
edu_inst_150207597,150207597,Santa Rosa
edu_inst_150207613,150207613,La Salle-Abancay
edu_inst_150239970,150239970,Juliaca
edu_inst_150262311,150262311,Toribio Rodríguez De Mendoza
edu_inst_150273979,150273979,Tarapoto
edu_inst_150276188,150276188,Juan Xxiii
edu_inst_150290924,150290924,Marcos Duran Martel
edu_inst_150310656,150310656,José Jiménez Borja
edu_inst_150356972,150356972,Piura
edu_inst_150391151,150391151,Hno. Victorino Elorz Goicoechea-Cajamarca
edu_inst_150391169,150391169,Arístides Merino Merino
edu_inst_150412189,150412189,Huaraz
edu_inst_150419937,150419937,Nuestra Señora De Lourdes
edu_inst_150421412,150421412,Huancavelica
edu_inst_150453761,150453761,Sagrado Corazón De Jesús
edu_inst_150453787,150453787,Nuestra Señora De Chota
edu_inst_150474320,150474320,Puno
edu_inst_150512855,150512855,Hno. Victorino Elorz Goicoechea-Sullana
edu_inst_150567784,150567784,Mercedes Cabello De Carbonera
edu_inst_150575126,150575126,José María Arguedas-Andahuaylas
edu_inst_150575308,150575308,Gregorio Mendel
edu_inst_150575779,150575779,Gamaniel Blanco Murillo
edu_inst_150576553,150576553,Generalísimo José De San Martin
edu_inst_150584755,150584755,Horacio Zeballos Gamez-Coronel Portillo
edu_inst_150586669,150586669,Túpac Amaru
edu_inst_150591859,150591859,Puquio
edu_inst_150591909,150591909,La Salle-Urubamba
edu_inst_150595090,150595090,Monseñor Elías Olázar
edu_inst_150597278,150597278,Ignacio Amadeo Ramos Olivera-Yungay
edu_inst_150598367,150598367,Pomabamba
edu_inst_150604371,150604371,José Salvador Cavero Ovalle
edu_inst_150608299,150608299,Chincha
edu_inst_150609370,150609370,Gustavo Allende Llaveria
edu_inst_150610519,150610519,Hermilio Valdizan
edu_inst_150611525,150611525,Octavio Matta Contreras
edu_inst_150622936,150622936,Nuestra Señora De La Asunción
edu_inst_150622969,150622969,José Faustino Sánchez Carrión
edu_inst_150623025,150623025,Publico Tayabamba
edu_inst_150630558,150630558,Azángaro
edu_inst_150630616,150630616,Educación Física Lampa
edu_inst_150634659,150634659,Indoamerica
edu_inst_150636811,150636811,Fray Florencio Pascual Alegre González
edu_inst_150637116,150637116,Filiberto García Cuellar
edu_inst_150638130,150638130,Ciro Alegría Bazan
edu_inst_150642090,150642090,Antenor Orrego
edu_inst_150642348,150642348,Víctor Andrés Belaunde
edu_inst_150644807,150644807,Chiquián
edu_inst_150653584,150653584,Fidel Zárate Plasencia
edu_inst_150653592,150653592,13 De Julio De 1882
edu_inst_150666479,150666479,Yarinacocha
edu_inst_150676312,150676312,Publico De Lamas
edu_inst_150681627,150681627,Instituto Superior Pedagogico Publico
edu_inst_150686618,150686618,Chimbote
edu_inst_150688069,150688069,Educación Física-Huancavelica
edu_inst_150688341,150688341,Nuestra Señora Del Rosario
edu_inst_150690388,150690388,David Sánchez Infante
edu_inst_150695452,150695452,Arequipa
edu_inst_150696385,150696385,San Miguel
edu_inst_150697235,150697235,Teodoro Peñaloza
edu_inst_150702902,150702902,Loreto
edu_inst_150708164,150708164,César Abraham Vallejo Mendoza
edu_inst_150713099,150713099,Juana Moreno
edu_inst_150714725,150714725,Público Bambamarca
edu_inst_150721951,150721951,Publico Cangallo
edu_inst_150726414,150726414,Gran Pajaten
edu_inst_150732370,150732370,Manuel Gonzales Prada
edu_inst_150751800,150751800,Jose Crespo Y Castillo
edu_inst_150759217,150759217,Santa Cruz
edu_inst_150783399,150783399,Gregoria Santos
edu_inst_150811489,150811489,Cachicadán
edu_inst_150815084,150815084,San Marcos
edu_inst_150891770,150891770,La Inmaculada
edu_inst_150891952,150891952,Honorio Delgado Espinoza
edu_inst_150921015,150921015,Acolla
edu_inst_150926733,150926733,Pucará
edu_inst_150926840,150926840,José Santos Chocano
edu_inst_150926865,150926865,Rafael Hoyos Rubio
edu_inst_150930057,150930057,José María Arguedas-Aymaraes
edu_inst_150931014,150931014,Virgen Del Carmen
edu_inst_150932368,150932368,José Carlos Mariátegui
edu_inst_150932392,150932392,Coyllurqui
edu_inst_150932475,150932475,Acomayo
